1vMBPAST5vDidZuMfOBTm7g47-ehukp_V,Syllabus
1Zyo9RuWp8yMEhD6N6QtkAGK0_BU6Wtc2,Previous Year Papers
1DoZVoiFViPVJ0u6AJZfj6H-KzPCp0aTu,"Lab
            Assignment"
1k4Xvx-Bj7h6wrpAMjt5sVBgSr6gEy_gs,"Notes &
            Slides"
1BKsFSavYNcOH6TrHcqjUL0NmLYCpl2kI,Books
 third-year/cse/Branch Electives/dataanalytics.html,
"1I_Oen8v2dNZAKcYPqBrXQnuRR4TJIqIw
        ",Lab
"1M_EObdcQydl7NNySZmpNIumiNpYsBhm2
        ",Books
"1wvEQjojYuo_7ns9siTsC2n5T7oDmvCxv
        ",Notes & Slides
 third-year/cse/Branch Electives/machinelearning.html,
1zdUUgcetSjyPYw_k9PydAEviIg3CYEQZ,Syllabus
17Ge-UvIUXWgtpAf0rLVCQhTqhL8f4Iht,Papers
14usany7y80NDQkasoaWix8qCpRVHDjb,Lab Assignment
1mYfZ1X7i6sQdjWqUuIglPu8D8iKTkaks,Notes & Slides
 third-year/cse/Generic Electives/cognitive.html,
1Ed6_YB8T8o7DzAV5mo7qTLohRiidNBh3,Notes & Slides
 third-year/cse/Generic Electives/cyberSecurity.html,
1Pq_AD5TP0kqnTPpOVG0aSzxBHLZrxcOi,Books
1sStaeDFD-s1VWGc6RRdyae82i2A_5brK,Notes & Slides
1W5mKUL-AR1ICbbTtKYGlQJJjWMcxpTmJ,"Previous
            Year Papers"
 third-year/cse/Generic Electives/corporate_fianance.html,
1ceJo01Nj-slN2_Bf_FKPbgK1xD03YSpH,Syllabus
1__SYAG8eEGfljDw_6KkP4y212KMupRIt,Books
1mfAhegd0U1cfOJDjTJN9gnHq8cR2_pRq,Notes & Slides
 third-year/cse/Generic Electives/French.html,
1Pq_AD5TP0kqnTPpOVG0aSzxBHLZrxcOi,Books
1pX285bDribq7DzkbNAGHFwKZrC3bbjnc,Notes & Slides
1XwfKVxXEKNX0wzSUMoq0U8tA0xVpLtak,"Previous
            Year Papers"
 third-year/cse/Generic Electives/graphTheory.html,
1eLBVBecN0l_UFsGq5uz89xdoe7vTgck4,Notes & Slides
 third-year/mee/mantech.html,
1vHUcrLfRJ1wIRosZs_T1qtO9ZKXAJ-cg,Notes & Slides
1p9TTFeOuoU657hIf6Sj-Ni2JERkDL2Nx,Tutorials
1MtKTWJ-XutgDR5TnY0gXi991X1bDhq-X,Previous Year Papers
 first-year/devbiology.html,
1zxl19RSen0plbDRhQujr-76G1wKaFzTX,Notes & Slides
1pA5FsGZf35JbJjnRbHiDNObFsRCoqcLW,Previous Year Papers
 first-year/biochem.html,
12vHC-xiUVRaJgzGGQ3TcikD9K5Byx6-x,Notes & Slides
1m_2bRmOUxGp8kM8PhfdYCmZYhSRBeyx9,Previous Year Papers
 first-year/microbiology.html,
1BcMf8c6OuT-EvBjtSYWZkZOiJXGKQTPE,"Notes
            & Slides"
1Zkrx6eNy4FvcdYHKaJTh83TeJXhmqvmh,"Previous
            Year Papers"
 first-year/com.html,
1bvpF1SEHS1tYYI6HA3mecwNiLXY2CqzP,Books
1WFZRBt3uYbz1lvF8InED_5pzWop308i9,"Notes &
      Slides"
1btRuTqyNA9D7HK2XwrWgW8MQ915u3Kjb,"Previous Year
      Papers"
 first-year/draw1.html,
1yxjWvXY9Bu1Drwd4IeADeLMomUuf6jD6,"Notes &
      Slides"
1sYraJHnzmw-JYp3gA1I0sjZEeRztvXJT,"Tutorials(AUTO
      CAD)"
1aYHQgkoRY76BJjbzSXXJW3EqC-oS2WCg,Tutorials(Manual)
1XeSl8Fucj-ISJRRwxWnI8Y_ExSjgIZyI,"Tutorial
      Solutions"
1qX6BtPqx6VJ0XdUPZ8SnTusBgTxKBZ37,"Previous Year
      Papers"
 first-year/linear_algebra.html,
1nK59rmQuzv_WZVmplR5Cr_sUaYH2k9lD,Books
1oAB1ZYCy_kT25MV8tDdIwLfKLsXOJbU0,Notes & Slides
1BD1HkWvPsHZeCx3CrHcJggHPG1b8_nTg,Tutorials
1T2EncrBibet3_KUez31pLUyuxgcWnkaE,"Tutorial
      Solutions
    "
1J-u5ErIII0-z-y1qufFOgjBxNAgPxXM_,"Previous Year
      Papers"
 first-year/mech.html,
1biH2JR0UCF8JvUyh2-898K3FRnYEkEWx,Books
1P2YrMsncVk4CSI_broJPUbb5B3C37_ki,Notes & Slides
18LvSQPZDdyLiWmj8obc_rOm-Lfgm77-Q,Tutorials
1lkrJnnonOZiFpkZXbgF7BbXjzf1A7GmC,Tutorial Solutions
1PW1QF7NsE0X5Wtg4u-qZHI1b-LRMThkP,Previous Year Papers
 first-year/intromaths2.html,
1OsUi-jX3Tq8ncAJsx_7Pj2LKRPGtV8HI,Books
1KrqKfdx5I_L0ELXc_F1pf2FhcmsgFM3f,Previous Year Papers
 first-year/electronics.html,
1EhKzmGrTSugZSEZlXffr0No02mxuslHr,Books
1urODuMGbxemmRxOa7qPqd3CdGog-AytX,Notes & Slides
1SbM4E9jdm11-BIjKSnC2xEashH5lK5iw,Tutorials
1ZoEtnAXv1TfoVB5eysmodv4BfeNb71HQ,Tutorial Solutions
1FQM_Woi5-ghIOjp8z2EQqncPw8YixSR-,"Previous Year
      Papers"
 first-year/introbiotech.html,
1rNt1p7UWj7HjD9qab_PI1sEiCB4IHhlv,"Notes
            & Slides"
1eypxYFvHFcxZfv30INinCSBxQLyNFDht,"Previous
            year Paper"
 first-year/cs1.html,
1uzK0ljRSkSTkZ1-pKYUfrLV1zY4Hh5JR,"Books
      "
1iyqV592WUHjKJs2JbUoK9Zl7Uen4Zypw,Notes & Slides
1TKTA4jAuekL5qK71n9YUBLyroCfD9Cgm,"Lab Assignments
      "
1_pmcdT2DhnYqfRJEpRw9BkWXtQ4W3CWp,"Assignment Solutions
      "
1CzmcUsSTOPv_f9OAF9dQmVyBnzY2KwTi,Previous Year Papers
 first-year/maths1.html,
1IJ3jYyL3VEHYQtwP6VG_RnNjyXh5jP6g,Books
1yiT6ImN9CH6FARHyjS_7Ow8-NIh1ua7t,Notes & Slides
1l6z2DqLI1thuFFIpHdBpe1tmepWPg13R,Tutorials
1iNVWQdKSHNXSDruf5jVsYfhqH_xQ_CUu,"Tutorial
      Solutions
    "
1BbgHqIL-ZMYeGLIolBcnuyeHNIXnS4Oc,"Previous Year
      Papers"
 first-year/biotech.html,
1rNt1p7UWj7HjD9qab_PI1sEiCB4IHhlv,"Notes
            & Slides"
1eypxYFvHFcxZfv30INinCSBxQLyNFDht,"Previous
            Year Papers"
 first-year/electrical.html,
1mwB-V089tq-1x6O29qjizMcgL8-dKAc9,"Books/Lab Material
      "
1E3gXwuZLww5oris7beZbj64M1UJD9rPm,Notes & Slides
1XtwOV33msxzxh_IuNEnkRyRbYHNvMx9f,Tutorials
15R9oHpCKJctNRFCcAQZqhmIC2MaKmXdl,"Tutorial Solutions
      "
1-4MqTRgjW5cXQO6siIS6nfO6rVrRxww-,Previous Year Papers
 first-year/cellbiology.html,
153Z20_lSpSOhgurGXvRD5PXRpDZavU_z,Notes & Slides
1uXJTrEpFRYge-0CSOZEZoCIRejMMgLOt,Previous Year Papers
 first-year/principles_of_electronics.html,
1EhKzmGrTSugZSEZlXffr0No02mxuslHr,Books
1urODuMGbxemmRxOa7qPqd3CdGog-AytX,Notes & Slides
1FQM_Woi5-ghIOjp8z2EQqncPw8YixSR-,Previous Year Papers
 first-year/probability_statistics.html,
1B0mmzFzCCd0lGLpfWUNluCttUVmzmn_h,Books
1V9Le9S3L2OFd-Y5OraNoy0g7mdj2CDoy,Notes & Slides
13ymh-tc4-xIqpeG-Z2rvMKesWwq2NxoC,Assignments
1ki2bne7MiJtCdcuZE7g6d0OXITsN9ZSg,Assignments Solutions
1O59CafQvf5qLb6CFRf-aPGbzW6-WK7bg,Previous Year Papers
 first-year/env.html,
1Qq6Qf_TtRmVZYbSPuSLHbybfVxn8Mu8T,Books
11Be7N6tBblEq4TTvFR8Hsos_YhHg2KOj,Notes & Slides
1Fjy9QknXyZxsxz8UbAOyCs34D7lP6JGl,Previous Year Papers
 first-year/discrete_mathematics.html,
1CiahZSwjlfw_1H6Ps0UYKObg28BF5-pw,Books
14Ed7MYsE8Rd8hGPPpmD74JetvGnQbPIG,Notes
1V3EinEaotNU91Bl_d_XqEvRawhaXtPw-,Tutorials
1G8B6rj6Dc3hfYWMYNIdbPAnAIb9InGpD,Tutorial Solutions
1HurOsYNiqASpdNRaxcOIpeLuYpaBGTvX,Previous Year Papers
 first-year/intromaths1.html,
1HyerE20sw_eLF9D6LHb6RpCY1VwmsG4G,Books
1RptPEiChDuJ_6dtysWksGkthwGmbd0Um,Previous Year Papers
 first-year/electrielectro.html,
1JSB5f3hrYqTUqg80_xrNryz9mu-sTiXt,"Books
      "
1UdtqNHXoCtrl2OTCcOPqxjgs4gzHQGG7,Notes & Slides
197esjf1NW_qoDOar731gik6WIsh9i5u6,Tutorials
 first-year/cs2.html,
1ITLsg8VzgRmndjXrfgtlrICrubxNuBuA,Books/Lab Material
1CoS3nAS7CuQbAVDi8tvIBCjf-9usEHCw,Notes & Slides
1GDga9xLv6-s00eRnV2f_DyG2wQsRxJ5e,Previous Year Papers
 first-year/business_communication.html,
1vdUHpl6xs5BnxQCHnaIoCqFMtyl2LMfr,Notes & Slides
 first-year/maths2.html,
