"
      UBT602
    ","
      Bio Infoand Stats
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bio-infoandbio-stat.html,,,,
"
      UMC511
    ","
      Mathematical
      Modeling&simulation
    ",Lab Assignment,third-year,1RJaj25GdaB-eHI6nrgOr7Yoi9yF__Qvv,cse,Branch Electives,mathematicalmodelling.html,,,
"
      UMC511
    ","
      Mathematical
      Modeling&simulation
    ",Notes & Slides,third-year,1-ezl2dHAYpi-qOOfsuVb6NEDdjVyoq6A,cse,Branch Electives,mathematicalmodelling.html,,,
"
            UMCXXX
        ","
            FinancialMathematics
",Syllabus,third-year,1AbQbEmLGnmHx7cdYqXI806gIXeHYdS0-,cse,Branch Electives,financial_mathematics.html,,,
"
            UMCXXX
        ","
            FinancialMathematics
",Tutorials,third-year,1zoRSiziq3qEjXA6O3ky422eP3QqQNcMQ,cse,Branch Electives,financial_mathematics.html,,,
"
            UMCXXX
        ","
            FinancialMathematics
",Books,third-year,1-9cnR9TijAFs8einH2wvcktJ_A-MozFZ,cse,Branch Electives,financial_mathematics.html,,,
"
            UCS641
        ","
CloudComputing
        ",Previous Year Papers,third-year,1xJwXvMjjsPrGEEoWb67uR8IrFNv4VCfN,cse,Branch Electives,cloudcomputing.html,,,
"
            UCS641
        ","
CloudComputing
        ",Lab Assignment,third-year,1EMZIQWdXETtf33IpECikaQDVhwB-MzEh,cse,Branch Electives,cloudcomputing.html,,,
"
            UCS641
        ","
CloudComputing
        ",Notes & Slides,third-year,17oDDIIBQUsg4V84uDqzyBEq6NSKF91s6,cse,Branch Electives,cloudcomputing.html,,,
"
            UCS641
        ","
CloudComputing
        ",Books,third-year,1FW3dxG5Xzf5-RI3DYNiaBgPY7RxuNHfV,cse,Branch Electives,cloudcomputing.html,,,
"
        UCS634
    ","
SecureCoding
    ",Previous Year Papers,third-year,18WqkJNGZwLdAhHa1o1kzsH3LgW0NTkih,cse,Branch Electives,secureCoding.html,,,
"
        UCS634
    ","
SecureCoding
    ","Lab
            Assignment",third-year,1V8oCzrh12ELyS0pMLL6wxx9XZtZo0-hB,cse,Branch Electives,secureCoding.html,,,
"
        UCS634
    ","
SecureCoding
    ","Notes &
            Slides",third-year,1tfeYcs6ptI2xVzNSQv6fgQqiwXINM0bz,cse,Branch Electives,secureCoding.html,,,
"
        UCS608
    ","
Parellel&DistributedComputing
    ",Syllabus,third-year,1vMBPAST5vDidZuMfOBTm7g47-ehukp_V,cse,Branch Electives,pdc.html,,,
"
        UCS608
    ","
Parellel&DistributedComputing
    ",Previous Year Papers,third-year,1Zyo9RuWp8yMEhD6N6QtkAGK0_BU6Wtc2,cse,Branch Electives,pdc.html,,,
